response_id,date,customer_type,age_range,visit_frequency,heard_about_us,overall_rating,food_rating,service_rating,atmosphere_rating,value_rating,would_recommend,likely_to_return,favorite_item,what_would_improve,additional_comments
1,2024-03-15,regular,65+,daily,been_coming_for_years,5,5,5,5,5,yes,definitely,"The State Fair Special","Nothing - don't change a thing","Best breakfast in Detroit. Maggie knows my name, Patty knows my order. That's all I need."
2,2024-03-15,regular,55-64,2-3x_per_week,been_coming_for_years,5,5,5,5,5,yes,definitely,"Biscuits and gravy","Maybe some new pies? But the current ones are great too","This place is home. Please don't turn it into one of those hipster places."
3,2024-03-16,first_time,25-34,first_visit,walked_by,3,3,4,2,3,maybe,probably_not,"Nothing stood out","Everything feels dated. Menu is boring. No avocado toast?","Seemed fine but nothing special. Lots of better options in the neighborhood now."
4,2024-03-16,occasional,35-44,monthly,friend_recommendation,4,4,5,3,4,yes,probably,"Patty melt","Update the decor a bit. Feels stuck in time.","Food is solid, service is great. Just feels like it needs some love."
5,2024-03-17,regular,65+,daily,been_coming_for_years,5,5,5,5,5,yes,definitely,"Coffee and toast","Longer hours maybe","Been coming here since 2001. Luis makes the best eggs in the city."
6,2024-03-17,first_time,25-34,first_visit,instagram,2,2,3,2,3,no,probably_not,"N/A","Better food, better coffee, actual atmosphere","Found this on Instagram, the photos made it look cooler than it is. Disappointed."
7,2024-03-18,regular,45-54,weekly,been_coming_for_years,5,5,5,4,5,yes,definitely,"Corktown Scramble","Nothing really","Solid reliable breakfast. Exactly what I want on Saturday mornings."
8,2024-03-18,occasional,35-44,few_times_per_year,yelp,3,3,4,3,4,maybe,maybe,"French toast","Online ordering would be nice. Menu could use some updates.","Good diner food but feels behind the times. Had to call to order takeout like it's 1995."
9,2024-03-19,first_time,25-34,first_visit,walked_by,3,3,3,2,4,maybe,maybe,"Burger was decent","The vibe is very 'grandma's house' - not sure if that's intentional?","Cheap and filling but not somewhere I'd bring friends."
10,2024-03-19,regular,65+,2-3x_per_week,been_coming_for_years,5,5,5,5,5,yes,definitely,"Maggie's pie","Nothing","If you change this place I'll be heartbroken. It's perfect."
11,2024-03-20,first_time,25-34,first_visit,friend_recommendation,4,3,5,3,4,yes,probably,"Milkshake","Better coffee. The food was fine but the coffee was weak.","Server was so sweet. Felt like visiting my aunt. But the actual food was just okay."
12,2024-03-20,occasional,45-54,monthly,been_coming_for_years,4,4,5,4,4,yes,probably,"Turkey club","Could use a refresh but don't go crazy","Been coming for 10 years. It's changed a bit but still feels like home."
13,2024-03-21,regular,55-64,weekly,been_coming_for_years,5,5,5,5,5,yes,definitely,"Everything","Don't change anything please","Heard rumors about a rebrand. Please no. This place is special because it ISN'T trendy."
14,2024-03-21,first_time,18-24,first_visit,tiktok,2,2,3,2,3,no,probably_not,"Nothing","Literally everything? It's giving 'abandoned time capsule'","My grandparents would love it here lol. Not for me though."
15,2024-03-22,occasional,35-44,monthly,been_coming_for_years,4,4,4,4,5,yes,definitely,"Hash browns","Accept Apple Pay?","Great value, friendly service. A bit dated but that's part of the charm."
16,2024-03-22,regular,65+,daily,been_coming_for_years,5,5,5,5,5,yes,definitely,"Just coffee and conversation","Nothing","I come here to see Patty and the gang. The food is great but the people are why I stay."
17,2024-03-23,first_time,25-34,first_visit,google_search,3,3,4,3,3,maybe,probably_not,"Eggs were cooked right","Online presence, modern payment options, healthier options","Functional but forgettable. Hard to justify when there are trendier spots nearby."
18,2024-03-23,first_time,25-34,first_visit,walked_by,4,4,4,4,4,yes,probably,"The vibe actually","I thought I'd hate it but it's kind of cool? Very authentic.","Came in ironically, left genuinely charmed. Like stepping back in time but in a good way."
19,2024-03-24,regular,55-64,2-3x_per_week,been_coming_for_years,5,5,5,5,5,yes,definitely,"Patty melt","Maybe a website that works?","Love this place. Just wish I could order online for pickup."
20,2024-03-24,occasional,35-44,few_times_per_year,yelp,3,3,3,3,4,maybe,maybe,"Soup was good","Menu is limited. Would love more options.","Good for what it is but 'what it is' is pretty basic."
21,2024-03-25,first_time,25-34,first_visit,friend_recommendation,4,4,5,4,4,yes,probably,"The pie!","Didn't expect much but the pie was incredible. Highlight that more!","Friend dragged me here. The pie alone is worth coming back for."
