Month,Week,Social Post 1,Social Post 2,Social Post 3,Blog Post,Report Sent,Notes
July,W1,Posted,Posted,Posted,,,Ramp-up week
July,W2,Posted,Posted,Posted,,,
July,W3,Posted,Posted,Posted,,,
July,W4,Posted,Posted,Posted,Published: "Top 5 Detroit Neighborhoods for First-Time Buyers",Yes,Strong start
August,W1,Posted,Posted,Posted,,,
August,W2,Posted,Posted,Posted,,,
August,W3,Posted,Posted,Posted,,,
August,W4,Posted,Posted,Posted,Published: "What to Know About Detroit's Housing Market in 2024",Yes,David loved this one
September,W1,Posted,Posted,Posted,,,
September,W2,Posted,Posted,Posted,,,
September,W3,Posted,Posted,Missed,,,"Busy week, caught up later"
September,W4,Posted,Posted,Posted,Published: "Fall Home Buying Tips",Yes,
October,W1,Posted,Posted,Posted,,,
October,W2,Posted,Posted,Posted,,,
October,W3,Posted,Missed,Posted,,,
October,W4,Posted,Posted,Posted,"Published: ""Preparing Your Home for Holiday Showings""",Late,Report sent 11/8
November,W1,Posted,Missed,Missed,,,DAC ramping up
November,W2,Posted,Posted,Missed,,,
November,W3,Missed,Missed,Posted,,,
November,W4,Posted,Posted,Posted,"MISSED - started draft but didn't finish",Missed,"Blog draft is in folder somewhere, report not sent"
December,W1,Posted,Missed,Missed,,,
December,W2,Missed,Missed,Posted,,,
December,W3,Missed,Posted,Missed,,,
December,W4,Missed,Missed,Missed,MISSED,Not sent,Holidays + other projects
January,W1,Posted,Missed,Missed,,,
January,W2,Missed,Posted,Missed,MISSED,Not sent,"David emailed asking about blog, haven't responded"
