Vendor Name,Category,Contact Name,Phone,Email,Status,Amount/Fee,Deposit Paid,Notes
Big Baby BBQ,Food Truck,Terrence Williams,313-555-0147,bigbabybbq@email.com,CONFIRMED,$0 (keeps proceeds),n/a,returning vendor - great relationship
Taqueria Lupita,Food Truck,???,313-555-???,,pending?,,,"spoke to someone, call dropped"
Detroit Soul Food Co,Food Truck,Anita Morrison,313-555-0182,,maybe?,,,"did we call? check sent folder"
Mike's Coney Island,Food Truck,Mike,,CONFIRMED,$0 (keeps proceeds),n/a,or was this for spring picnic??
Fun Times Inflatables,Bounce Houses,Janet,248-555-0193,info@funtimesinflate.com,quote received,$950,yes - $200,"price went up from $800, full payment due 6/1"
Clean Scene Portables,Porta Potties,dispatch,248-555-0156,,deposit paid,$600,yes - $150,4 units + 1 ADA. need to confirm delivery time
Sweet Treats Ice Cream,Food - Ice Cream,Gloria Patterson,313-555-0134,,interested,vendor fee waived,,mr patterson's cousin? check
Face Painting,Kids Activity,Maria's niece??,,,verbal yes,free?,,talk to Maria
DJ Services,Entertainment,Darnell's guy,,,PENDING,???,,Darnell was handling this?
Barnes Family Gospel,Headliner Entertainment,Mrs. Barnes,313-555-0178,barnesfamilygospel@gmail.com,CONFIRMED,$2000,$0,Patricia confirmed - NO DEPOSIT PAID YET
Redford Union HS Jazz,Entertainment,Mr. Patterson (teacher),313-555-0145,,confirmed,free,n/a,need permission slip logistics
Destiny's Youth Dance,Entertainment,Ms. Alberta Johnson,313-555-0189,alberta.j@email.com,CONFIRMED,free,n/a,10 dancers ages 8-15
New Hope Baptist Choir,Entertainment,Pastor Williams,313-555-0112,,maybe??,free,n/a,or was it New Beginning church??
Sound System Rental,Equipment,???,,,NOT CONFIRMED,estimate $500-800?,,CRITICAL - no vendor identified
Stage/Platform,Equipment,Hub owns one??,,,unknown,,,ask Darnell about storage shed
Bright Signs Printing,Signage,Carlos,313-555-0199,carlos@brightsigns.com,quote pending,$350 estimate,,banners and directional signs
,,,,,,,,"need sponsor logos first"
