Date,Client,Project,Task,Hours,Billable,Notes
2025-01-02,Bellevue Brewing,Brand Package,Brand guidelines draft,3.5,Yes,
2025-01-02,Detroit Athletics,Rebrand,Competitive analysis,2.0,Yes,
2025-01-03,Rivertown Realty,Retainer,Social content,1.5,Yes,
2025-01-03,Bellevue Brewing,Brand Package,Client call,0.5,Yes,
2025-01-06,Detroit Athletics,Rebrand,Strategy deck work,4.0,Yes,
2025-01-06,Bellevue Brewing,Brand Package,Brand guidelines,2.5,Yes,
2025-01-07,Detroit Athletics,Rebrand,Brand audit,3.0,Yes,
2025-01-07,Rivertown Realty,Retainer,Analytics review,0.5,Yes,started but didn't finish
2025-01-08,Bellevue Brewing,Brand Package,Logo refinements,2.0,Yes,back and forth with designer
2025-01-08,Detroit Athletics,Rebrand,Workshop prep,1.5,Yes,
2025-01-09,Detroit Athletics,Rebrand,Workshop (with Simone),4.0,Yes,positioning workshop
2025-01-09,Bellevue Brewing,Brand Package,Menu direction thoughts,1.0,No,not in scope but they asked
2025-01-10,Bellevue Brewing,Brand Package,Brand guidelines,3.0,Yes,
2025-01-10,Rivertown Realty,Retainer,Social posts,1.0,Yes,only got 2 done
2025-01-13,Detroit Athletics,Rebrand,Strategy deck,3.5,Yes,
2025-01-13,Bellevue Brewing,Brand Package,Client email thread,0.5,Yes,
2025-01-14,Detroit Athletics,Rebrand,Strategy deck,4.0,Yes,
2025-01-14,Bellevue Brewing,Brand Package,Brand guidelines draft,2.0,Yes,
2025-01-15,Detroit Athletics,Rebrand,Deck revision,2.0,Yes,
2025-01-15,Bellevue Brewing,Brand Package,Guidelines + misc,1.5,Yes,last day before leave
