BRIGHTMOOR SUMMER FESTIVAL 2024 - BUDGET DRAFT
Last updated: May 23 by Marcus

INCOME,,,,
Source,Projected,Confirmed,Received,Notes
Detroit Credit Union (Presenting),$5000,$5000,$0,Linda Chen - agreement pending signature??
Rocket Mortgage,$3500,$0,$0,NOT HAPPENING - Derek declined
Brightmoor Hardware,$1500,$1500,$0,Mr. Patterson always comes through
Pauline's Hair Salon,$250,$250,$0,confirmed via text
QuickStop Gas Station,$200,$200,$0,confirmed
Hub General Fund,$2000,$2000,$0,Patricia approved
Individual Donations (projected),$1000,$0,$0,haven't started outreach
Vendor Fees,$500,$0,$0,most vendors keep their own proceeds
Rocket Mortgage,$3500,,,DELETE THIS ROW
In-Kind Value (not cash),$2500,n/a,n/a,"health fair, volunteer time, etc"
,,,,
TOTAL INCOME,$16450,$8950,$0,

EXPENSES,,,,
Category,Budgeted,Actual/Committed,Paid,Notes
Entertainment - Headliner,$1500,$2000,$0,Barnes Family - $500 over budget!!
Entertainment - Other,$500,$0,$0,most acts are free
Sound System,$600,$800,$0,Darnell getting quote - might be higher
Stage Rental,$400,$0,$0,do we own one? check
Bounce Houses,$750,$950,$200,price increased - deposit paid
Porta Potties,$600,$600,$150,deposit paid - 4 units + ADA
Kids Activities,$400,$200,$0,face painting free - need supplies budget
Food - Free Items,$800,$800,$0,hot dogs/drinks for kids - costco run
Signage & Printing,$400,$525,$175,flyers done - banners pending
T-Shirts,$600,$750,$0,added sponsor logo - price went up?
Permits & Insurance,$300,$300,$0,Patricia handling
Decorations,$200,$200,$0,
Volunteer Appreciation,$300,$300,$0,t-shirts and lunch
Miscellaneous,$500,$500,$0,
Sound System,$500,$0,$0,duplicate?
Tent Rentals,$800,$800,$0,2 large tents for shade
Tables & Chairs,$400,$0,$0,Hub has some? rent additional?
Generator Rental,$300,$300,$0,for food truck area
,,,,
TOTAL EXPENSES,$16500,$9025,$525,

,,,,
BUDGET SUMMARY,,,,
Total Income (projected),$16450,,,
Total Expenses (budgeted),$16500,,,
Net,($50),,,looks ok right?

,,,,
WAIT SOMETHING'S WRONG,,,,
,,,,
"if rocket mortgage is $0, real income is:",,,,
DCU,$5000,,,
Hardware,$1500,,,
Pauline,$250,,,
QuickStop,$200,,,
Hub Fund,$2000,,,
Donations (maybe),$1000,,,
Vendor Fees,$500,,,
REAL TOTAL,$10450,,,
,,,,
"expenses still $16500",,,,
"SHORTFALL: $6050",,,,
,,,,
no wait hub fund is confirmed so,,,,
actually I'm confusing myself,,,,
,,,,
REVISED CALC (may 28),,,,
Confirmed income: $8950,,,,
Projected additional: $1500,,,,
Realistic total: $10450,,,,
Current committed expenses: $9025,,,,
Remaining budget items: ~$6000,,,,
,,,,
I DON'T KNOW ANYMORE,,,,
